feature_order,ensembl_gene_id
1,ENSG00000000971
2,ENSG00000001561
3,ENSG00000002016
4,ENSG00000002549
5,ENSG00000005187
6,ENSG00000005379
7,ENSG00000005961
8,ENSG00000006555
9,ENSG00000007264
10,ENSG00000007350
11,ENSG00000008256
12,ENSG00000008277
13,ENSG00000008988
14,ENSG00000010030
15,ENSG00000010319
16,ENSG00000011105
17,ENSG00000013725
18,ENSG00000015171
19,ENSG00000018869
20,ENSG00000020633
21,ENSG00000023171
22,ENSG00000025156
23,ENSG00000027075
24,ENSG00000027869
25,ENSG00000034053
26,ENSG00000055118
27,ENSG00000055332
28,ENSG00000058056
29,ENSG00000059378
30,ENSG00000062524
31,ENSG00000063046
32,ENSG00000063177
33,ENSG00000065675
34,ENSG00000067141
35,ENSG00000067191
36,ENSG00000067601
37,ENSG00000067840
38,ENSG00000068079
39,ENSG00000069667
40,ENSG00000070018
41,ENSG00000070087
42,ENSG00000070526
43,ENSG00000071073
44,ENSG00000072858
45,ENSG00000073737
46,ENSG00000074527
47,ENSG00000074966
48,ENSG00000076248
49,ENSG00000078081
50,ENSG00000078098
51,ENSG00000078687
52,ENSG00000079215
53,ENSG00000079335
54,ENSG00000079385
55,ENSG00000080493
56,ENSG00000080546
57,ENSG00000080561
58,ENSG00000081026
59,ENSG00000081059
60,ENSG00000082512
61,ENSG00000083814
62,ENSG00000083845
63,ENSG00000085511
64,ENSG00000085563
65,ENSG00000087116
66,ENSG00000088179
67,ENSG00000088387
68,ENSG00000088827
69,ENSG00000089009
70,ENSG00000089127
71,ENSG00000089157
72,ENSG00000091129
73,ENSG00000091409
74,ENSG00000099219
75,ENSG00000099282
76,ENSG00000100003
77,ENSG00000100100
78,ENSG00000100129
79,ENSG00000100311
80,ENSG00000100316
81,ENSG00000100385
82,ENSG00000100422
83,ENSG00000100453
84,ENSG00000100852
85,ENSG00000100890
86,ENSG00000101162
87,ENSG00000101190
88,ENSG00000101230
89,ENSG00000101400
90,ENSG00000101442
91,ENSG00000102245
92,ENSG00000103037
93,ENSG00000104408
94,ENSG00000104490
95,ENSG00000105048
96,ENSG00000105176
97,ENSG00000105202
98,ENSG00000105289
99,ENSG00000105372
100,ENSG00000105373
101,ENSG00000105640
102,ENSG00000105708
103,ENSG00000105717
104,ENSG00000105926
105,ENSG00000106133
106,ENSG00000106351
107,ENSG00000107014
108,ENSG00000107018
109,ENSG00000107201
110,ENSG00000107485
111,ENSG00000107679
112,ENSG00000107742
113,ENSG00000107833
114,ENSG00000107859
115,ENSG00000107960
116,ENSG00000108298
117,ENSG00000108679
118,ENSG00000108771
119,ENSG00000108839
120,ENSG00000108846
121,ENSG00000109107
122,ENSG00000109184
123,ENSG00000109452
124,ENSG00000109475
125,ENSG00000109680
126,ENSG00000110057
127,ENSG00000110455
128,ENSG00000110700
129,ENSG00000110944
130,ENSG00000111331
131,ENSG00000111335
132,ENSG00000111371
133,ENSG00000111678
134,ENSG00000111716
135,ENSG00000111785
136,ENSG00000111796
137,ENSG00000111907
138,ENSG00000112306
139,ENSG00000112782
140,ENSG00000112796
141,ENSG00000113088
142,ENSG00000113263
143,ENSG00000113319
144,ENSG00000113966
145,ENSG00000114388
146,ENSG00000114391
147,ENSG00000114650
148,ENSG00000114812
149,ENSG00000114942
150,ENSG00000114948
151,ENSG00000115085
152,ENSG00000115155
153,ENSG00000115267
154,ENSG00000115523
155,ENSG00000115896
156,ENSG00000116005
157,ENSG00000116106
158,ENSG00000116251
159,ENSG00000116663
160,ENSG00000116667
161,ENSG00000117010
162,ENSG00000117020
163,ENSG00000117090
164,ENSG00000117228
165,ENSG00000117281
166,ENSG00000117602
167,ENSG00000118181
168,ENSG00000118402
169,ENSG00000118922
170,ENSG00000119401
171,ENSG00000119514
172,ENSG00000119714
173,ENSG00000119737
174,ENSG00000119917
175,ENSG00000119922
176,ENSG00000120458
177,ENSG00000120756
178,ENSG00000120832
179,ENSG00000120915
180,ENSG00000121236
181,ENSG00000122026
182,ENSG00000122043
183,ENSG00000122085
184,ENSG00000122224
185,ENSG00000122406
186,ENSG00000122420
187,ENSG00000122679
188,ENSG00000123545
189,ENSG00000123612
190,ENSG00000124203
191,ENSG00000124233
192,ENSG00000124256
193,ENSG00000124374
194,ENSG00000124614
195,ENSG00000124762
196,ENSG00000125245
197,ENSG00000125430
198,ENSG00000126016
199,ENSG00000126351
200,ENSG00000126709
201,ENSG00000126756
202,ENSG00000126804
203,ENSG00000127152
204,ENSG00000127334
205,ENSG00000127362
206,ENSG00000127995
207,ENSG00000128040
208,ENSG00000128383
209,ENSG00000128590
210,ENSG00000128694
211,ENSG00000128739
212,ENSG00000129158
213,ENSG00000129422
214,ENSG00000130255
215,ENSG00000130303
216,ENSG00000130487
217,ENSG00000130513
218,ENSG00000130589
219,ENSG00000130600
220,ENSG00000130656
221,ENSG00000130684
222,ENSG00000130956
223,ENSG00000131067
224,ENSG00000131469
225,ENSG00000131797
226,ENSG00000131849
227,ENSG00000132002
228,ENSG00000132256
229,ENSG00000132274
230,ENSG00000132530
231,ENSG00000132661
232,ENSG00000132849
233,ENSG00000133106
234,ENSG00000133134
235,ENSG00000133216
236,ENSG00000133641
237,ENSG00000133818
238,ENSG00000133985
239,ENSG00000134321
240,ENSG00000134326
241,ENSG00000134419
242,ENSG00000134539
243,ENSG00000134545
244,ENSG00000134709
245,ENSG00000134909
246,ENSG00000135114
247,ENSG00000135414
248,ENSG00000135469
249,ENSG00000135631
250,ENSG00000135749
251,ENSG00000135951
252,ENSG00000135960
253,ENSG00000136014
254,ENSG00000136153
255,ENSG00000136158
256,ENSG00000136514
257,ENSG00000136816
258,ENSG00000136897
259,ENSG00000136932
260,ENSG00000136936
261,ENSG00000136942
262,ENSG00000137038
263,ENSG00000137054
264,ENSG00000137070
265,ENSG00000137106
266,ENSG00000137154
267,ENSG00000137441
268,ENSG00000137501
269,ENSG00000137628
270,ENSG00000137818
271,ENSG00000137959
272,ENSG00000137965
273,ENSG00000138311
274,ENSG00000138326
275,ENSG00000138378
276,ENSG00000138381
277,ENSG00000138496
278,ENSG00000138642
279,ENSG00000138646
280,ENSG00000139055
281,ENSG00000139116
282,ENSG00000139173
283,ENSG00000139187
284,ENSG00000139537
285,ENSG00000139610
286,ENSG00000139737
287,ENSG00000140464
288,ENSG00000140948
289,ENSG00000140988
290,ENSG00000141040
291,ENSG00000141293
292,ENSG00000141664
293,ENSG00000142173
294,ENSG00000142303
295,ENSG00000142528
296,ENSG00000142534
297,ENSG00000142541
298,ENSG00000142546
299,ENSG00000142676
300,ENSG00000142794
301,ENSG00000142856
302,ENSG00000142875
303,ENSG00000142937
304,ENSG00000143167
305,ENSG00000143184
306,ENSG00000143185
307,ENSG00000143365
308,ENSG00000143499
309,ENSG00000143947
310,ENSG00000144026
311,ENSG00000144120
312,ENSG00000144290
313,ENSG00000144362
314,ENSG00000144476
315,ENSG00000144713
